sep,bright,red-1,red-4
1.5,1.00E-04,2.50E-04,2.00E-03
3.0,3.31E-05,8.00E-05,7.00E-04
6.0,1.74E-05,4.00E-05,4.50E-04
12.0,1.74E-05,1.20E-04,2.80E-04
24.0,1.74E-05,4.00E-05,5.50E-05
48.0,2.51E-06,3.50E-06,4.80E-06
96.0,2.51E-06,3.50E-06,4.80E-06
192.0,2.51E-06,3.50E-06,4.80E-06








